chatId,participant1,participant2,lastMessage,lastSender,lastTimestamp,updatedAt
,,,,,,
chat_1761130457342_ts9bntlhw,12309972,12309970,hi,12309972,2025-10-22T16:34:33.823Z,2025-10-22T16:34:33.823Z
chat_1761130540006_9h2nbrq1s,12309970,12314012,hi,12309970,2025-10-22T10:55:47.423Z,2025-10-22T10:55:47.423Z
chat_1761131478924_23d64lm9w,12309970,12307586,hi,12309970,2025-10-22T11:29:31.416Z,2025-10-22T11:29:31.416Z
chat_1761132525534_gdxerf466,12309970,12309970,image (6).png,12309970,2025-10-22T11:32:46.140Z,2025-10-22T11:32:46.140Z
chat_1761146851390_51xqpce7g,12306253,12300581,E2E test message from 12306253,12306253,2025-10-22T15:27:31.405Z,2025-10-22T15:27:31.405Z
chat_1761150993610_j3pb1ep83,12309972,12309971,hi,12309972,2025-10-22T16:36:36.796Z,2025-10-22T16:36:36.796Z
chat_1761151377253_2arv7x53j,12309972,12308799,,,2025-10-22T16:42:57.253Z,2025-10-22T16:42:57.253Z
chat_1761195162584_enl86zfku,12309972,12318256,hi,12309972,2025-10-23T04:52:49.493Z,2025-10-23T04:52:49.493Z
chat_1761655326826_k9kwhwg7p,12318256,12309986,hihhihhih,12318256,2025-10-28T12:42:12.945Z,2025-10-28T12:42:12.945Z
