messageId,chatId,sender,receiver,text,fileUrl,fileName,fileType,timestamp,delivered,read,readAt

msg_1761130461797_fj7t6zwfo,chat_1761130457342_ts9bntlhw,12309972,12309970,hi,,,,2025-10-22T10:54:21.797Z,false,false,
msg_1761130470281_ydsdkfeh5,chat_1761130457342_ts9bntlhw,12309972,12309970,how are you,,,,2025-10-22T10:54:30.281Z,false,false,
msg_1761130547423_hjraf0uno,chat_1761130540006_9h2nbrq1s,12309970,12314012,hi,,,,2025-10-22T10:55:47.423Z,false,false,
msg_1761131451782_9m45f8k57,,12309970,,hi,,,,2025-10-22T11:10:51.782Z,false,false,
msg_1761131459929_5v6rf5cfy,,12309970,,,/uploads/1761131459906-962839819-a511f380-e464-46c0-8e3b-e26081e2e203.jpg,a511f380-e464-46c0-8e3b-e26081e2e203.jpg,image/jpeg,2025-10-22T11:10:59.929Z,false,false,
msg_1761131486571_l0bj9vfur,chat_1761131478924_23d64lm9w,12309970,12307586,hi,,,,2025-10-22T11:11:26.571Z,false,false,
msg_1761132554461_d54ln3wgd,chat_1761130457342_ts9bntlhw,12309970,12309972,hi,,,,2025-10-22T11:29:14.461Z,false,false,
msg_1761132571416_bdy4brmj4,chat_1761131478924_23d64lm9w,12309970,12307586,hi,,,,2025-10-22T11:29:31.416Z,false,false,
msg_1761132580971_si78drxlm,chat_1761132525534_gdxerf466,12309970,12309970,hi,,,,2025-10-22T11:29:40.971Z,false,false,
msg_1761132766140_2m5iqud15,chat_1761132525534_gdxerf466,12309970,12309970,,/uploads/1761132766099-251796824-image (6).png,image (6).png,image/png,2025-10-22T11:32:46.140Z,false,false,
msg_1761146851405_iceuda6is,chat_1761146851390_51xqpce7g,12306253,12300581,E2E test message from 12306253,,,,2025-10-22T15:27:31.405Z,false,false,
msg_1761150873823_04tj674hn,chat_1761130457342_ts9bntlhw,12309972,12309970,hi,,,,2025-10-22T16:34:33.823Z,false,false,
msg_1761150996796_pkahnlzqk,chat_1761150993610_j3pb1ep83,12309972,12309971,hi,,,,2025-10-22T16:36:36.796Z,false,false,
msg_1761195169493_jej2obkdq,chat_1761195162584_enl86zfku,12309972,12318256,hi,,,,2025-10-23T04:52:49.493Z,false,false,
msg_1761195322542_2j65hdtn9,,12318256,,,/uploads/1761195322435-561530045-image (6).png,image (6).png,image/png,2025-10-23T04:55:22.542Z,false,false,
msg_1761195345332_e9u7vyuhu,,12318256,,hi,,,,2025-10-23T04:55:45.332Z,false,false,
msg_1761655332945_3lo8ii4oj,chat_1761655326826_k9kwhwg7p,12318256,12309986,hihhihhih,,,,2025-10-28T12:42:12.945Z,false,false,
msg_1762858046529_utf87t747,chat_1761130457342_ts9bntlhw,12309972,12309970,hi,,,,2025-11-11T10:47:26.529Z,false,false,
